cfr_title,cfr_part,part_heading,term
2,1120,Award format for DoD grants and cooperative agreements,Business and industry
2,1120,Award format for DoD grants and cooperative agreements,Colleges and universities
2,1120,Award format for DoD grants and cooperative agreements,Grant programs
2,1120,Award format for DoD grants and cooperative agreements,Grants administration
2,1120,Award format for DoD grants and cooperative agreements,Hospitals
2,1120,Award format for DoD grants and cooperative agreements,Indians
2,1120,Award format for DoD grants and cooperative agreements,Nonprofit organizations
2,1120,Award format for DoD grants and cooperative agreements,Small businesses
2,1120,Award format for DoD grants and cooperative agreements,State and local governments
2,1122,National policy requirements: general award terms and conditions,Business and industry
2,1122,National policy requirements: general award terms and conditions,Colleges and universities
2,1122,National policy requirements: general award terms and conditions,Grant programs
2,1122,National policy requirements: general award terms and conditions,Grants administration
2,1122,National policy requirements: general award terms and conditions,Hospitals
2,1122,National policy requirements: general award terms and conditions,Human research subjects
2,1122,National policy requirements: general award terms and conditions,Indians
2,1122,National policy requirements: general award terms and conditions,Nonprofit organizations
2,1122,National policy requirements: general award terms and conditions,Research
2,1122,National policy requirements: general award terms and conditions,Small businesses
2,1122,National policy requirements: general award terms and conditions,State and local governments
2,1125,Nonprocurement suspension and debarment,Administrative practice and procedure
2,1125,Nonprocurement suspension and debarment,Business and industry
2,1125,Nonprocurement suspension and debarment,Colleges and universities
2,1125,Nonprocurement suspension and debarment,Grant programs
2,1125,Nonprocurement suspension and debarment,Grants administration
2,1125,Nonprocurement suspension and debarment,Hospitals
2,1125,Nonprocurement suspension and debarment,Indians
2,1125,Nonprocurement suspension and debarment,Nonprofit organizations
2,1125,Nonprocurement suspension and debarment,Reporting and recordkeeping requirements
2,1125,Nonprocurement suspension and debarment,Small businesses
2,1125,Nonprocurement suspension and debarment,State and local governments
2,1126,Subchapter D overview,Grant programs
2,1126,Subchapter D overview,Grants administration
2,1128,Recipient financial and program management: general award terms and conditions,Accounting
2,1128,Recipient financial and program management: general award terms and conditions,Business and industry
2,1128,Recipient financial and program management: general award terms and conditions,Grant programs
2,1128,Recipient financial and program management: general award terms and conditions,Grants administration
2,1128,Recipient financial and program management: general award terms and conditions,Hospitals
2,1128,Recipient financial and program management: general award terms and conditions,Indians
2,1128,Recipient financial and program management: general award terms and conditions,Nonprofit organizations
2,1128,Recipient financial and program management: general award terms and conditions,Reporting and recordkeeping requirements
2,1128,Recipient financial and program management: general award terms and conditions,Small businesses
2,1128,Recipient financial and program management: general award terms and conditions,State and local governments
2,1130,Property administration: general award terms and conditions,Grant programs
2,1130,Property administration: general award terms and conditions,Grants administration
2,1130,Property administration: general award terms and conditions,Hospitals
2,1130,Property administration: general award terms and conditions,Indians
2,1130,Property administration: general award terms and conditions,Nonprofit organizations
2,1130,Property administration: general award terms and conditions,Reporting and recordkeeping requirements
2,1130,Property administration: general award terms and conditions,Small businesses
2,1130,Property administration: general award terms and conditions,State and local governments
2,1132,Recipient procurement procedures: general award terms and conditions,Business and industry
2,1132,Recipient procurement procedures: general award terms and conditions,Grant programs
2,1132,Recipient procurement procedures: general award terms and conditions,Grants administration
2,1132,Recipient procurement procedures: general award terms and conditions,Hospitals
2,1132,Recipient procurement procedures: general award terms and conditions,Indians
2,1132,Recipient procurement procedures: general award terms and conditions,Nonprofit organizations
2,1132,Recipient procurement procedures: general award terms and conditions,Reporting and recordkeeping requirements
2,1132,Recipient procurement procedures: general award terms and conditions,Small businesses
2,1132,Recipient procurement procedures: general award terms and conditions,State and local governments
2,1134,"Financial, programmatic, and property reporting: general award terms and conditions",Grant programs
2,1134,"Financial, programmatic, and property reporting: general award terms and conditions",Grants administration
2,1134,"Financial, programmatic, and property reporting: general award terms and conditions",Hospitals
2,1134,"Financial, programmatic, and property reporting: general award terms and conditions",Indians
2,1134,"Financial, programmatic, and property reporting: general award terms and conditions",Nonprofit organizations
