authority_text,nrows,removed,added
"secs. 1, 4(i), 229, 301, 302, 303, 309, 312, 403, and 503 of the Communications Act of 1934, as amended",30,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 3565 and 3568 to 3569 (Repealed in part as to offenses committed on or after November 1, 1987)",30,"('usc', 18, '1987', None)",""
"18 USC 5006 to 5024 (Repealed October 12, 1984, as to offenses committed after that date.)",30,"('usc', 18, '1984', None)",""
"Social Security Act, sec. 1776 (42 U.S.C. 1320d-5) added by Health Insurance Portability and Accountability Act of 1996 (HIPAA), Pub. L. 104-191, sec. 264 (August 21, 1996)",30,"('usc', 42, '1996', None)",""
"18 USC 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006 to 5024 (Repealed October 12, 1984, as to offenses committed after that date), 5039",30,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"Social Security Act, sec 1839",29,"('act_relative', None, None, None)","('other', None, None, None)"
"This rule is promulgated by the Secretary of Labor under the authority of 5 U.S.C. 301, as well as Secretary of Labor's Order 03-2006, 71 FR 4219 (January 25, 2006)",28,"('usc', 5, '2006', None)",""
"Social Security Act, sec 1818A(d)(2)",28,"('act_relative', None, None, None)","('other', None, None, None)"
Railroad Safety Improvement Act of 2008,27,"('act_relative', None, None, None)","('other', None, None, None)"
"Secs. 1, 2, 4(i), 4(n), 302, 303(r), 312, 333, and 503, of the Communications Act of 1934, as amended",27,"('act_relative', None, None, None)","('other', None, None, None)"
"MMA, sec 811",27,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 112(f)(2),26,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1886(j)",26,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1888(e)",26,"('act_relative', None, None, None)","('other', None, None, None)"
"secs. 1, 2, 3, 4, 10, 201, 202, 208, 209, 214, 216, 217, 218, 219, 220(a), 229, 251, 254, 255, 256, 301, 303, 307, 332, and 333, of the Communications Act of 1934, as amended",25,"('act_relative', None, None, None)","('other', None, None, None)"
"MMA, sec 629",25,"('act_relative', None, None, None)","('other', None, None, None)"
"Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for U",25,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1813 (b)(2)",25,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1886(d) of the Social Security Act,25,"('act_relative', None, None, None)","('other', None, None, None)"
Transportation Equity Act for the 21st Century,25,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act section 112,25,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",24,"('usc', 18, '1987', None)",""
BBA,24,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4082, (repealed in part as to offenses committed on or after November 1, 1987)",24,"('usc', 18, '1987', None)",""
Clean Air Act sec 129,24,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 4001, 4042, 4942, 4081, and 4082 (Repealed in part as to conduct occurring on or after November 1, 1987)",24,"('usc', 18, '1987', None)",""
"18 U.S.C. 5006 to 5024 (Repealed October 12, 1984, as to offenses committed after that date)",24,"('usc', 18, '1984', None)",""
"18 USC 4161 to 4166 (Repealed in part as to offenses committed on or after November 1, 1987)",24,"('usc', 18, '1987', None)",""
"18 U.S.C. 4001, 4042, 4046, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",24,"('usc', 18, '1987', None)",""
"18 U.S.C. 3621, 3622, 3624, 4001, 4042, 4081, 4082 (repealed in part as to offenses committed on or after Nov. 1, 1987)",24,"('usc', 18, '1987', None)",""
"18 U.S.C. 4161-4166 (repealed October 12, 1984 as to offenses committed on or after November 1, 1987), 5006-5024 (Repealed October 12, 1984 as to conduct occurring after that date)",24,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
"Social Security Act, sec 1895",24,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 4001, 4042, 4046, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987)",24,"('usc', 18, '1987', None)",""
"18 USC 4126, 5006 to 5024 (Repealed October 12, 1984, as to offenses committed after that date)",24,"('usc', 18, '1984', None)",""
"18 USC 751, 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1,1987), 4161-4166, 5006-5024 (Repealed October 12,1984, as to offenses committed)",24,"('usc', 18, '1984', None) | ('usc', 18, '1987', None)",""
sec. 4009 and 4011,24,"('public_law', None, None, None)","('other', None, None, None)"
"International Security and Development Cooperation Act of 1981, sec 601",23,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, secs 1102 and 1871",23,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 129,23,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 1102 of the Social Security Act,22,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 4161 to 4166 (Repealed as to offenses committed on or after November 1, 1987)",22,"('usc', 18, '1987', None)",""
"18 U.S.C. 5006 to 5024 (Repealed October 12, 1984, as to offenses committed)",22,"('usc', 18, '1984', None)",""
CAA 211,22,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act Section 112,22,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act Title I,22,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4082 (Repealed in part as to conduct occurring on or after November 1, 1987)",22,"('usc', 18, '1987', None)",""
"18 U.S.C. 3568 (repealed November 1, 1987 as to offenses committed on or after that date)",22,"('usc', 18, '1987', None)",""
ERISA sec 101(f),21,"('act_relative', None, None, None)","('other', None, None, None)"
"DRA, sec 5111",21,"('act_relative', None, None, None)","('other', None, None, None)"
