authority_text,nrows,removed,added
"the Helms, Biden, 1978, and 1985 Amendments, 22 U.S.C. 2151b(f), e.g., Consolidated Appropriations Act, 2018, Pub. L115-141, Div. K, sec. 7018)",3,"('usc', 22, '2018', None)",""
"The Food Security Act of 1985, sec 1201, as amended",3,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act Amendments of 1990 sec 110(a)(2),3,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act Amendments of 1990, title V",3,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1886(l) of the Social Security Act,3,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA section 408(a),3,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA 12,3,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 110(a)(1),3,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1102 of Social Security Act,3,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 203,3,"('public_law', None, None, None)","('other', None, None, None)"
Clean Air Act Amendments of 1990 sec 112 (d),3,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1870",3,"('act_relative', None, None, None)","('other', None, None, None)"
"BIPA, sec 605",3,"('act_relative', None, None, None)","('other', None, None, None)"
CAA301,3,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 3004(v),3,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4100-4115, 4161-4166, (Repealed in part as to offenses committed on or after November 1, 1987)",3,"('usc', 18, '1987', None)",""
"SecS. 1, 2, 3, 4, 10, 201, 202, 208, 209, 214, 216, 217, 218, 219, 220(a), 229, 251, 254, 255, 256, 301, 303, 307, 332, and 333, of the Communications Act of 1934, as amended",2,"('act_relative', None, None, None)","('other', None, None, None)"
Privacy Act of 1974,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sections 432(a) and 468(2) of the HEA,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Public Health Service Act, Sec. 2713",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1155",2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1870 of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
"BIPA, sec 601 to 603",2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 166,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act section 602,2,"('act_relative', None, None, None)","('other', None, None, None)"
RCRA 3001(a),2,"('act_relative', None, None, None)","('other', None, None, None)"
"""CWA Section 304""",2,"('act_relative', None, None, None)","('other', None, None, None)"
45102 to 45103,2,"('usc', 49, '45102', None)","('other', None, None, None)"
Social Security Act sec 1102,2,"('act_relative', None, None, None)","('other', None, None, None)"
"title XIX of the Social Security Act, sec 1923(f) and (h)",2,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C 5006-5024 (Repealed October 12, 1984 as to conduct occurring after that date)",2,"('usc', 18, '1984', None)",""
1094,2,"('usc', 20, '1094', None)","('other', None, None, None)"
secs 2104 (e) and 2104(f) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
690d,2,"('public_law', None, None, None)",""
CAA sec 203(a)(1),2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 733 of the Dodd-Frank Wall Street Reform and Consumer Protection Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1525 MAP-21,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 325 of the Energy Independence and Security Act of 2007,2,"('act_relative', None, None, None)","('other', None, None, None)"
Cranston-Gonzalez National Affordable Housng Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1115A",2,"('act_relative', None, None, None)","('other', None, None, None)"
as amended by the Dodd-Frank Wall Street Reform and Consumer Protection Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
1818,2,"('usc', 12, '1818', None)","('other', None, None, None)"
"Social Security Act, sec 1869(b)",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1869(b), subpart H",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1861",2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 167,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 206,2,"('act_relative', None, None, None)","('other', None, None, None)"
"""Clean Air Act Section 112(b)(3)""",2,"('act_relative', None, None, None)","('other', None, None, None)"
41706,2,"('usc', 49, '41706', None)","('other', None, None, None)"
of the Social Security Act.,2,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 4082 (Repealed as to offenses committed on or after November 1, 1987.)",2,"('usc', 18, '1987', None)",""
"46 app USC 808, 839",2,"","('usc', 46, '839', None)"
Bipartisan Budget Act of 2015 sec. 824,2,"('act_relative', None, None, None)","('other', None, None, None)"
"National Childhood Vaccine Injury Act of 1986, as amended",2,"('act_relative', None, None, None)","('other', None, None, None)"
FIFRA sec 3 and 25,2,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 4082 (Repealed in part as to offenses committed on or after November 1, 1987.)",2,"('usc', 18, '1987', None)",""
sec 726,2,"('public_law', None, None, None)","('other', None, None, None)"
CAA sec 307(d)(7)(B),2,"('act_relative', None, None, None)","('other', None, None, None)"
205(u) and 1631e(7) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
"secs. 301, 304 (b) and (c), 306 (b) and (c), 307(c), Federal Water Pollution Control Act, as amended",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1842(b)(3)(C), subpart H",2,"('act_relative', None, None, None)","('other', None, None, None)"
BIPA Section 331,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1915(c) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
RCRA Section 1004(27),2,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 202(k),2,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA 404,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Federal Insecticide, Fungicide, and Rodenticide Act sec 6",2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act sec 502,2,"('act_relative', None, None, None)","('other', None, None, None)"
secs 30 and 38 of Investment Company Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
"""CWA Section 306""",2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 701 of the MMA,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1916 of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Sec 1128(c)(3)(b), Social Security Act",2,"('act_relative', None, None, None)","('other', None, None, None)"
"the Budget and Accounting Procedures Act of 1950, as amended",2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 281 of INA,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 101 (b) (1) of INA,2,"('act_relative', None, None, None)","('other', None, None, None)"
44705,2,"('usc', 49, '44705', None)","('other', None, None, None)"
parts C and D of title I of the Clean Air Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
1903(a)(7) of the Social Security Act (the Act),2,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 11A of the Securities Exchange Act of 1934,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 7(a)(13) of the Small Business Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 129 and 111(d),2,"('act_relative', None, None, None)","('other', None, None, None)"
"SSA, sec 1848(c)(2)(B)(i)",2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 32934 and sec 32101(d) of MAP-21,2,"('act_relative', None, None, None)","('other', None, None, None)"
1331,2,"('public_law', None, None, None)","('other', None, None, None)"
"Social Security Act, title V, sec 501(a)(2 and 3)",2,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 5006 to 5024 (Repealed October 12, 1984 as to offenses committed after that date)",2,"('usc', 18, '1984', None)",""
Bipartisan Budget Act of 2015 sec 824,2,"('act_relative', None, None, None)","('other', None, None, None)"
Stat. 2936,2,"('statute_at_large', None, None, None)","('other', None, None, None)"
"sec. 412(e),",2,"('public_law', None, None, None)","('other', None, None, None)"
2656,2,"('usc', 22, '2656', None)","('other', None, None, None)"
sec 1812(d) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1866 of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec. 1819(b) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1861(s)(2)(B) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Safe Drinking Water Act, sec. 1412",2,"('act_relative', None, None, None)","('other', None, None, None)"
Section 1893 (f) (2) of the Social Security Act added by Section 935 of the MMA,2,"('act_relative', None, None, None)","('other', None, None, None)"
1831d note,2,"('usc', 12, '1831d', None)","('other', None, None, None)"
"CAA sec 112(f)(2), 112(d)(6)",2,"('act_relative', None, None, None)","('other', None, None, None)"
Social Security Act sec 1871,2,"('act_relative', None, None, None)","('other', None, None, None)"
"2279aa-11,2279aa-12",2,"('usc', 12, '2279aa-11', None) | ('usc', 12, '2279aa-12', None)","('other', None, None, None)"
Dodd-Frank Wall Street Reform and Consumer Protection Ac,2,"('act_relative', None, None, None)","('other', None, None, None)"
The Elijah E. Cummings Federal Employee Antidiscrimination Act of 2020 (Cummings Act),2,"('act_relative', None, None, None)","('other', None, None, None)"
U.S.C. 1135 (ERISA sec. 505),2,"('act_relative', None, None, None)","('other', None, None, None)"
93a,2,"('usc', 12, '93a', None)","('other', None, None, None)"
"National Environmental Policy Act, as amended",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1833(i)(1)",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1102, subpart H",2,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 1307(c),2,"('public_law', None, None, None)","('other', None, None, None)"
Children's Health Act of 2000,2,"('act_relative', None, None, None)","('other', None, None, None)"
CAA Section 211,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1842(o) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 421 of the MMA,2,"('act_relative', None, None, None)","('other', None, None, None)"
"BIPA, sec 422",2,"('act_relative', None, None, None)","('other', None, None, None)"
secs 2104(e) & (f) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
44702 et seq,2,"('usc', 49, '44702', None)","('other', None, None, None)"
1820(g),2,"('usc', 12, '1820', None)","('other', None, None, None)"
SDWA 1422,2,"('act_relative', None, None, None)","('other', None, None, None)"
"2279aa-11, 2279aa-12",2,"('usc', 12, '2279aa-11', None) | ('usc', 12, '2279aa-12', None)","('other', None, None, None)"
"18 USC 5006 to 5024 (Repealed October 12, 1984, as to conduct occurring after that date",2,"('usc', 18, '1984', None)",""
"Social Security Act, sec 1902",2,"('act_relative', None, None, None)","('other', None, None, None)"
"sec 515(b)(1) of the Federal Food, Drug, and Cosmetic Act",2,"('act_relative', None, None, None)","('other', None, None, None)"
1312,2,"('public_law', None, None, None)","('other', None, None, None)"
MMA sec 629,2,"('act_relative', None, None, None)","('other', None, None, None)"
MMA sec 811,2,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA section 601,2,"('act_relative', None, None, None)","('other', None, None, None)"
secs 3(a) and 306(a) of Sarbanes-Oxley Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
"the Budget and Accounting Act of 1921, as amended",2,"('act_relative', None, None, None)","('other', None, None, None)"
Mental Health Parity Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
1820 (f),2,"('usc', 12, '1820', None)","('other', None, None, None)"
"Social Security Act, sec 1819",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1886(d)",2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 110 of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1883 of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 168,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 169,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 231,2,"('act_relative', None, None, None)","('other', None, None, None)"
Toxic Substances Control Act sec 8(d),2,"('act_relative', None, None, None)","('other', None, None, None)"
Toxic Substances Control Act Title IV,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act section 604,2,"('act_relative', None, None, None)","('other', None, None, None)"
"""CWA Section 318""",2,"('act_relative', None, None, None)","('other', None, None, None)"
"""CAA 231 to 232""",2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 731 of the MMA,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Medicare Prescription Drug, Improvement, and Modernization Act of 2003 (MMA), sec 911(d)(2)(A)",2,"('act_relative', None, None, None)","('other', None, None, None)"
44903 to 44904,2,"('usc', 49, '44903', None)","('other', None, None, None)"
46301,2,"('usc', 49, '46301', None)","('other', None, None, None)"
"title XXI, Social Security Act, sec 2104",2,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4082 (Repealed in part as to offenses committed on or after Nov. 1, 1987)",2,"('usc', 18, '1987', None)",""
sec. 513 of the FAA Reauthorization Act of 2024,2,"('act_relative', None, None, None)","('other', None, None, None)"
Bank Secrecy Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
Stat. 782,2,"('statute_at_large', None, None, None)","('other', None, None, None)"
Expatriate Health Coverage Clarification Act of 2014,2,"('act_relative', None, None, None)","('other', None, None, None)"
INA Section 213A,2,"('act_relative', None, None, None)","('other', None, None, None)"
CAA secs 129 and 111(d),2,"('act_relative', None, None, None)","('other', None, None, None)"
CAA title I parts C and D and sec 111(a)(4),2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, secs 1923(f) and 1923(h)",2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 10221,2,"('public_law', None, None, None)","('other', None, None, None)"
"sec 1881 of the Social Security Act, MIPPA sec 153 (c)",2,"('act_relative', None, None, None)","('other', None, None, None)"
"46 USC app 1114(b), 1241(a)",2,"","('usc', 46, '1241', None)"
Public Rangelands Improvement Act of 1978,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 553(a)(2) of the Administrative Procedure Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
secs 1311 to 1313,2,"('public_law', None, None, None)","('other', None, None, None)"
PL 101 to 164,2,"('public_law', None, None, None)","('other', None, None, None)"
sec 1318 of MAP-21 (PL 112 to 141),2,"('act_relative', None, None, None)","('other', None, None, None)"
"sec 248(a) of the Trade Act of 1974, as amended",2,"('act_relative', None, None, None)","('other', None, None, None)"
sec.1819 and 1919 of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
secs. 105 and 301(a) of the United States-Canada Free-Trade Agreement Implementation Act of 1988,2,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1450(a),2,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1445(a)(6),2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1834(l) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 202(a),2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act section 183 (e),2,"('act_relative', None, None, None)","('other', None, None, None)"
"Small Business Act, sec 5(b)(6) and 21 as amended",2,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA sec 8,2,"('act_relative', None, None, None)","('other', None, None, None)"
1814(i)(A),2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1902 (a) (54) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 604 of the CAA,2,"('act_relative', None, None, None)","('other', None, None, None)"
45301 to 45302,2,"('usc', 49, '45301', None)","('other', None, None, None)"
secs 2104(e) and (f) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec. 502(a)(2),2,"('act_relative', None, None, None)","('other', None, None, None)"
DRA 2005,2,"('act_relative', None, None, None)","('other', None, None, None)"
OCSLA,2,"('act_relative', None, None, None)","('other', None, None, None)"
"BIPA, sec 608",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Clean Air Act, section 112",2,"('act_relative', None, None, None)","('other', None, None, None)"
"""CWA Section 307""",2,"('act_relative', None, None, None)","('other', None, None, None)"
"49 USC app 1301(7), 1303, 1344, 1348, 1352 to 1355, 1401, 1421 to 1431, 1471 to 1472",2,"","('usc', 49, '1303', None) | ('usc', 49, '1344', None) | ('usc', 49, '1348', None) | ('usc', 49, '1352', None) | ('usc', 49, '1401', None) | ('usc', 49, '1421', None) | ('usc', 49, '1471', None)"
"Sec 938 of the Medicare Prescription Drug, Improvement, and Modernization Act of 2003",2,"('act_relative', None, None, None)","('other', None, None, None)"
"MMA, sec 951",2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1154 to 1160 of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
45101 to 45105,2,"('usc', 49, '45101', None)","('other', None, None, None)"
1261 et seq,2,"('public_law', None, None, None)","('other', None, None, None)"
"2277a-7,2277a-10",2,"('usc', 12, '2277a-10', None) | ('usc', 12, '2277a-7', None)","('other', None, None, None)"
6941 et seq.,2,"('usc', 7, '6941', None)","('other', None, None, None)"
Sec 1817(i) and 1871 of the SSA,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 324 of the Energy Independence and Security Act of 2007,2,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 306 and 307,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1833 of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
Omnibus Budget Reconciliation Act of 1987 (OBRA 87),2,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 307(d),2,"('act_relative', None, None, None)","('other', None, None, None)"
PL 108 to 159,2,"('public_law', None, None, None)","('other', None, None, None)"
Clean Air Act sec 202(k),2,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 32911 of the Moving Ahead for Progress in the 21st Century Act (MAP-21),2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1871, subpart H",2,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA sec 1422,2,"('act_relative', None, None, None)","('other', None, None, None)"
"BIPA, sec 607",2,"('act_relative', None, None, None)","('other', None, None, None)"
CAA sec 114,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Water Act sec 302,2,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 3001 to 3008,2,"('act_relative', None, None, None)","('other', None, None, None)"
Resource Conservation Recovery Act sec 4010,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 324 of the Energy Policy and Conservation Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
"""CWA Section 308""",2,"('act_relative', None, None, None)","('other', None, None, None)"
"""CWA Section 501""",2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1902(a)(4) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA 503,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act Title V,2,"('act_relative', None, None, None)","('other', None, None, None)"
Section 232 of the Trade Expansion Act of 1962,2,"('act_relative', None, None, None)","('other', None, None, None)"
"49 U.S.C. App. 13, 15 (1988)",2,"","('usc', 49, '15', None)"
sec 932(c)(2) MMA,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1923(f) & (h)",2,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec. 506(b),2,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1425,2,"('act_relative', None, None, None)","('other', None, None, None)"
Title VI of the Civil Rights Act of 1964,2,"('act_relative', None, None, None)","('other', None, None, None)"
APA section 553,2,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1414(c)(1),2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1814(b) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1833(a) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1833(n) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1861(v) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA sec 1425,2,"('act_relative', None, None, None)","('other', None, None, None)"
Title I of the Clean Air Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 161,2,"('act_relative', None, None, None)","('other', None, None, None)"
CAAA 112(g) and 112(q),2,"('act_relative', None, None, None)","('other', None, None, None)"
606 of BIPA,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Immigration and Nationality Act, sec 244",2,"('act_relative', None, None, None)","('other', None, None, None)"
Section 1893(i)(1) of the Social Security Act as amended by sec 935(i)(1) of Medicare Modernization Act (MMA),2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1818 A(d)(2)",2,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 402(p),2,"('act_relative', None, None, None)","('other', None, None, None)"
INA 243(d),2,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4161 to 4166 (Repealed as to offenses committed on or after Nov. 1, 1987)",2,"('usc', 18, '1987', None)",""
INA 208(a)(2)(A),2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1886(e)",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act sec 1881, 1861, 1920, 1102, 1871, 1965",2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 728 of the Dodd-Frank Wall Street Reform and Consumer Protection Act (Dodd-Frank Act),2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 6402(j) and 6503,2,"('public_law', None, None, None)","('other', None, None, None)"
Federal Property & Administrative Services Act of 1949,2,"('act_relative', None, None, None)","('other', None, None, None)"
Debt Collection Improvement Act of 1996,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Federal Civil Penalties, Inflation Adjustment Act of 1990",2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 2(h)(8) of the Commodity Exchange Act (as amended by the Dodd-Frank Wall Street Reform and Consumer Protection Act),2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act secs 1102, 1871, 1848",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1834(a)(1)(G)",2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1313 of MAP-21,2,"('act_relative', None, None, None)","('other', None, None, None)"
Pub. L. 101 to 410,2,"('public_law', None, None, None)","('other', None, None, None)"
Bipartisan Budget Act of 2015 sec 825,2,"('act_relative', None, None, None)","('other', None, None, None)"
Pub. L. 111 to 203,2,"('public_law', None, None, None)","('other', None, None, None)"
GENIUS Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act section 111,2,"('act_relative', None, None, None)","('other', None, None, None)"
"BIPA, sec 611 to 621",2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec. 1128(b)(A) of the Social Security Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1401,2,"('act_relative', None, None, None)","('other', None, None, None)"
Section 1834(h)(i),2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, Sec 1839",2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 203,2,"('public_law', None, None, None)","('other', None, None, None)"
Clean Air Act section 611,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Sec 1128E(b)(2), Social Security Act",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Title IX of the Education Amendments of 1972, as amended",2,"('act_relative', None, None, None)","('other', None, None, None)"
"MMA, sec 623",2,"('act_relative', None, None, None)","('other', None, None, None)"
"2104 (e) & (f) of the Social Security Act, sec 6101 of DRA",2,"('act_relative', None, None, None)","('other', None, None, None)"
40119,2,"('usc', 49, '40119', None)","('other', None, None, None)"
Clean Air Act Section 111,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Social Security Act, sec. 1839",2,"('act_relative', None, None, None)","('other', None, None, None)"
The Bipartisan Budget Act of 2018,2,"('act_relative', None, None, None)","('other', None, None, None)"
Social Security Act sec 1886(j),2,"('act_relative', None, None, None)","('other', None, None, None)"
CAA 111 and 129,2,"('act_relative', None, None, None)","('other', None, None, None)"
USC 44717,2,"('usc', 49, '44717', None)","('other', None, None, None)"
"Affordable Care Act, secs 1301 to 1343, secs 1401 to 1413",2,"('act_relative', None, None, None)","('other', None, None, None)"
Rail Safety Improvement Act of 2008 sec 410(c),2,"('act_relative', None, None, None)","('other', None, None, None)"
Federal Civil Penalties Inflation Adjustment Act of 1990,2,"('act_relative', None, None, None)","('other', None, None, None)"
"Fish and Wildlife Act of 1956, U.S.C. 742a to j",2,"('act_relative', None, None, None)","('other', None, None, None)"
Federal Civil Penalties Inflation Adjustment Act Improvement Act of 2015,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 7102 of the Affordable Care Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
sec 956,2,"('public_law', None, None, None)","('other', None, None, None)"
"Social Security Act, sec 1171-79",2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 213(a),2,"('act_relative', None, None, None)","('other', None, None, None)"
Federal Civil Penalties Inflation Adjustment Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
6924,2,"('usc', 42, '6924', None)","('other', None, None, None)"
Pub. L. 109 to 351,2,"('public_law', None, None, None)","('other', None, None, None)"
CWA 118,2,"('act_relative', None, None, None)","('other', None, None, None)"
RCRA sec 3001(b)(3)(C),2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 7102 of the Affordable Care Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 401 and 402,2,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1445,2,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1414(c)(2),2,"('act_relative', None, None, None)","('other', None, None, None)"
"18 USC 5006-5024 (Repealed October 12, 1984 as to offenses committed after that date)",2,"('usc', 18, '1984', None)",""
Clean Air Act sec 160,2,"('act_relative', None, None, None)","('other', None, None, None)"
"18 U.S.C. 4161-4166 (Repealed as to offenses committed on or after November 1, 1987)",2,"('usc', 18, '1987', None)",""
Clean Water Act sec 404,2,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 1101(c) of the Violence Against Women Reauthorization Act of 2013,2,"('act_relative', None, None, None)","('other', None, None, None)"
Safe Drinking Water Act sec 1413,2,"('act_relative', None, None, None)","('other', None, None, None)"
2277a-14(c) and (d).,2,"('usc', 12, '2277a-14', None)","('other', None, None, None)"
SDWA 1401(a),2,"('act_relative', None, None, None)","('other', None, None, None)"
93-87,2,"('public_law', None, None, None)","('other', None, None, None)"
1252,2,"('usc', 8, '1252', None)","('other', None, None, None)"
Clean Water Act section 312(n) as amended,2,"('act_relative', None, None, None)","('other', None, None, None)"
"QI, TMA, and Abstinence Programs Extension and Hurricane Katrina Unemployment Relief Act of 2005, sec 101",2,"('act_relative', None, None, None)","('other', None, None, None)"
"Federal Insecticide, Fungicide, and Rodenticide Act sec 2",2,"('act_relative', None, None, None)","('other', None, None, None)"
Toxic Substances Control Act sec 6(e),2,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act sec 162,2,"('act_relative', None, None, None)","('other', None, None, None)"
Toxic Substances Control Act,2,"('act_relative', None, None, None)","('other', None, None, None)"
TSCA,2,"('act_relative', None, None, None)","('other', None, None, None)"
1313,2,"('public_law', None, None, None)","('other', None, None, None)"
U.S.C. 31311(a),2,"('usc', 49, '31311', None)","('other', None, None, None)"
INA sec. 214,2,"('act_relative', None, None, None)","('other', None, None, None)"
INA 208(d)(5)(B),2,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 106,2,"('act_relative', None, None, None)","('other', None, None, None)"
