authority_text,usc_title,parsed_section,lettered_section_that_exists,rows
"42 USC 629(b)(a), 42 USC 652(a), 42 USC 654(a), 42 USC 671(a), 42 USC 1302, 42 USC 1396(a)",42,629,629b,2
12 USC 1831(n) (note),12,1831,1831n,2
15 USC 330 to 330(e),15,330,330e,2
12 U.S.C. 1831(o)-1,12,1831,1831o,2
42 USC 1395(l),42,1395,1395l,2
42 USC 1395(o),42,1395,1395o,2
42 USC 12651(d),42,12651,12651d,2
42 USC 300(f) SDWA,42,300,300f,1
"16 USC 668(dd), 685, 725, 690(d), 715(i), 664",16,715,715i,1
16 USC 773 to 773(k),16,773,773k,1
42 USC 300(g)(1-5),42,300,300g,1
42 USC 300(j)(11),42,300,300j,1
"16 USC 668(dd), 685, 725, 690(d), 715(i), 664",16,668,668dd,1
42 USC 1320(c),42,1320,1320c,1
42 USC 1320(d)2,42,1320,1320d,1
42 USC 1395(w)21 to 27,42,1395,1395w,1
16 U.S.C. 777(c),16,777,777c,1
7 U.S.C. 6(s),7,6,6s,1
42 U.S.C. 300(f) et seq. Safe Drinking Water Act,42,300,300f,1
42 U.S.C. 7671 to 7671(q) Clean Air Act,42,7671,7671q,1
"42 U.S.C. 300g-3(h)(6), 42 U.S.C. 300(g)-2(a)(6), and 42 USC 300j-9(a)(1)",42,300,300g,1
21 USC 379(e),21,379,379e,1
12 USC 1715(g)(4),12,1715,1715g,1
42 USC 8259(b),42,8259,8259b,1
47 U.S.C. 615(a)-1,47,615,615a,1
12 USC 1735(f),12,1735,1735f,1
"43 USC 315, 315(a) to 315(r)",43,315,315a,1
42 USC 1395(v)(1)(l),42,1395,1395v,1
21 USC 346(a) FFDCA sec 408,21,346,346a,1
16 U.S.C. 777(g) and 777g-1,16,777,777g,1
21 U.S.C. 346(a),21,346,346a,1
"12 USC 1708(c), 1708(d), 1709(s), 1715b and 1735(f)14",12,1735,1735f,1
42 USC 7661 to 7661(f),42,7661,7661f,1
21 U.S.C. 379(e),21,379,379e,1
20 USC 1231(g)(a),20,1231,1231g,1
21 USC 379(g) to 379(h),21,379,379g,1
16 USC 460bbb(b),16,460bbb,460bbbb,1
42 USC 1320(d)(5),42,1320,1320d,1
21 USC 346(a) - (q),21,346,346a,1
7 USC 473(d),7,473,473d,1
42 USC 7671(k) CAA 612,42,7671,7671k,1
42 U.S.C. 300(f) et seq Safe Drinking Water Act,42,300,300f,1
26 U.S.C. 45(J),26,45,45j,1
20 USC 1019 to 1019(d),20,1019,1019d,1
"42 USC 1395(fff), PL 111-148 secs 3131, 3401, 6407",42,1395,1395fff,1
15 USC 714(c),15,714,714c,1
15 USC 80b-6(a),15,80b-6,80b-6a,1
42 USC 300(g)(3)(b),42,300,300g,1
21 USC 346(a)to(q),21,346,346a,1
12 U.S.C. 1831(n) note,12,1831,1831n,1
42 U.S.C. 7651(K),42,7651,7651k,1
16 U.S.C. 824(p)(h),16,824,824p,1
12 U.S.C. 1795(f)(a)(2),12,1795,1795f,1
7 USC 473(a),7,473,473a,1
12 USC 371(d),12,371,371d,1
15 USC 77(s),15,77,77s,1
21 USC 346(a) FDCA sec 408,21,346,346a,1
42 USC 1395(ss),42,1395,1395ss,1
16 USC 497(b),16,497,497b,1
42 USC 300(j)(4),42,300,300j,1
"29 U.S.C. 218(c), FLSA sec 18C",29,218,218c,1
"5 USC. 301: 16 USC. 460(k) et seq, 668dd-668ee, as amended, 742(a) et seq, 301 et seq",16,460,460k,1
"16 USC 472, 551, 620(f), 1133(c) and (d)(1), 1246(i)",16,620,620f,1
15 USC 77(ttt),15,77,77ttt,1
42 USC 300(f),42,300,300f,1
"16 USC 668(dd), 685, 725, 690(d), 715(i), 664",16,690,690d,1
"21 U.S.C. 321, 341, 343, 348, 371, 379(e)",21,379,379e,1
7 U.S.C. 6(r),7,6,6r,1
"16 U.S.C. 460l-6d, 472, 551, 620(f), 1133(c)-(d)(1),1246(i).",16,620,620f,1
15 USC 77(c) to 77(d),15,77,77c,1
15 USC 57(a) Federal Trade Commission Act,15,57,57a,1
"15 USC 636(b), 657(n)",15,657,657n,1
31 U.S.C. 3720(d),31,3720,3720d,1
25 USC 396(d) and 2107,25,396,396d,1
42 USC 300(f) to 300(j) to 26,42,300,300f,1
42 U.S.C.1395(i),42,1395,1395i,1
42 U.S.C. 1395(n),42,1395,1395n,1
7 U.S.C. 1(a),7,1,1a,1
15 U.S.C. 657(n),15,657,657n,1
42 USC 7671 to 7671(g),42,7671,7671g,1
