rin,majority_sig,minority_sig,reason,majority_n,minority_n,n_editions,shape,contiguous
0694-AB53,usc:50:1710,usc:50:1701,usc.field1.transpose,9,1,10,minority-suffix,true
0694-AB59,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,8,5,13,minority-suffix,true
0694-AB59,usc:50:1710,usc:50:1701,usc.field1.transpose,8,5,13,minority-suffix,true
0694-AB60,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,8,5,13,minority-suffix,true
0694-AB60,usc:50:1710,usc:50:1701,usc.field1.transpose,8,5,13,minority-suffix,true
0694-AB62,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,8,1,9,minority-suffix,true
0694-AB73,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,6,5,11,minority-suffix,true
0694-AB73,usc:50:1710,usc:50:1701,usc.field1.transpose,6,5,11,minority-suffix,true
0694-AB75,fr:63:44121,fr:643:44121,fr.field0.edit1,2,1,3,minority-suffix,true
0694-AB76,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,6,3,9,minority-suffix,true
0694-AB76,usc:50:1710,usc:50:1701,usc.field1.transpose,6,3,9,minority-suffix,true
0694-AB90,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,5,4,9,minority-prefix,true
0694-AB97,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,5,4,9,minority-prefix,true
0694-AC05,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,14,4,18,minority-prefix,true
0694-AC06,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,5,4,9,minority-prefix,true
0694-AC10,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,4,3,7,minority-suffix,true
0694-AC15,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,21,3,24,minority-prefix,true
0694-AC17,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,21,3,24,minority-prefix,true
0694-AC25,usc:10:7420,usc:10:7429,usc.field1.edit1,21,3,24,minority-prefix,true
0694-AC28,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,5,2,7,minority-prefix,true
0694-AC31,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,6,2,8,minority-prefix,true
0694-AC32,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,5,2,7,minority-prefix,true
0694-AC34,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,21,1,22,minority-prefix,true
0694-AC35,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,21,1,22,minority-prefix,true
0694-AC37,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,3,1,4,minority-prefix,true
0694-AC44,usc:42:2139a,usc:42:2139,usc.field1.trailing-char,2,1,3,minority-prefix,true
0694-AE43,pl:107-56,pl:107-156,pl.field0.edit1,12,1,14,reverted-blip,true
0694-AE89,usc:15:1824,usc:15:1824a,usc.field1.trailing-char,9,3,12,minority-suffix,true
0694-AE89,usc:22:287,usc:22:287c,usc.field1.trailing-char,9,3,12,minority-suffix,true
0694-AE89,usc:42:2139,usc:42:2139a,usc.field1.trailing-char,9,3,12,minority-suffix,true
