usc_title,usc_section,edition_year
38,2410,2012
38,2411,2012
38,2413,2012
38,3015,2012
38,3022,2012
38,3108,2012
38,3115,2012
38,3680,2012
38,3703,2012
38,3901,2012
38,4102,2012
38,4211,2012
38,4212,2012
38,4331,2012
38,501,2012
38,503,2012
38,512,2012
38,5121a,2012
38,513,2012
38,5301,2012
38,5303a,2012
38,5307,2012
38,5701,2012
38,7332,2012
38,7601,2012
38,7633,2012
38,7634,2012
38,7636,2012
38,8105,2012
38,8127,2012
38,8131,2012
38,8502,2012
39,3633,2012
39,404a,2012
40,102,2012
40,1101,2012
40,121,2012
40,17503,2012
40,276c,2012
40,301,2012
40,3103,2012
40,322,2012
40,333,2012
40,484,2012
40,486,2012
40,549,2012
40,590,2012
40,9102,2012
41,1303,2012
41,134,2012
41,1502,2012
41,1707,2012
41,1905,2012
41,1906,2012
41,1908,2012
41,253,2012
41,414,2012
41,418b,2012
41,421,2012
41,422,2012
41,423,2012
41,431,2012
41,46,2012
41,701,2012
41,8101,2012
