usc_title,edition_year,usc_section,rin,bucket
46,1995,841a,3072-AB78,4-genuine-era-mismatch
46,1995,844,3072-AB78,4-genuine-era-mismatch
46,1995,845,3072-AB78,4-genuine-era-mismatch
46,1995,816,3072-AB84,4-genuine-era-mismatch
46,1995,843,3072-AB84,4-genuine-era-mismatch
46,1995,847,3072-AB84,4-genuine-era-mismatch
46,1995,841a,3072-AB88,4-genuine-era-mismatch
49,1995,10321,3120-AC03,4-genuine-era-mismatch
49,1995,10301,3120-AB41,4-genuine-era-mismatch
49,1995,10321,3120-AB41,4-genuine-era-mismatch
49,1995,10326,3120-AB41,4-genuine-era-mismatch
49,1995,10701a,3120-AB41,4-genuine-era-mismatch
49,1995,10922,3120-AC04,4-genuine-era-mismatch
49,1995,10923,3120-AC04,4-genuine-era-mismatch
49,1995,10927,3120-AC04,4-genuine-era-mismatch
49,1995,10505,3120-AB35,4-genuine-era-mismatch
49,1995,10750,3120-AB35,4-genuine-era-mismatch
49,1995,10321,3120-AB43,4-genuine-era-mismatch
49,1995,10505,3120-AB43,4-genuine-era-mismatch
49,1995,10321,3120-AB77,4-genuine-era-mismatch
49,1995,10505,3120-AB77,4-genuine-era-mismatch
49,1995,11341,3120-AB77,4-genuine-era-mismatch
49,1995,11343,3120-AB77,4-genuine-era-mismatch
49,1995,10761,3120-AB83,4-genuine-era-mismatch
49,1995,10762,3120-AB83,4-genuine-era-mismatch
49,1995,10321,3120-AB83,4-genuine-era-mismatch
49,1995,10321,3120-AB95,4-genuine-era-mismatch
49,1995,10505,3120-AB95,4-genuine-era-mismatch
49,1995,10762,3120-AB95,4-genuine-era-mismatch
49,1995,11105,3120-AB95,4-genuine-era-mismatch
49,1995,10321,3120-AC01,4-genuine-era-mismatch
49,1995,10505,3120-AC01,4-genuine-era-mismatch
49,1995,10731,3120-AC01,4-genuine-era-mismatch
49,1995,10707a,3120-AC01,4-genuine-era-mismatch
49,1995,10321,3120-AB96,4-genuine-era-mismatch
49,1995,10505,3120-AB96,4-genuine-era-mismatch
49,1995,10762,3120-AB96,4-genuine-era-mismatch
49,1995,11105,3120-AB96,4-genuine-era-mismatch
49,1995,10767,3120-AB98,4-genuine-era-mismatch
49,1995,10321,3120-AB98,4-genuine-era-mismatch
49,1995,10321,3120-AC00,4-genuine-era-mismatch
49,1995,10505,3120-AC00,4-genuine-era-mismatch
49,1995,10321,3120-AC02,4-genuine-era-mismatch
49,1995,10927,3120-AC02,4-genuine-era-mismatch
42,1996,4102a,1550-AB00,4-genuine-era-mismatch
12,1996,5102,1557-AB41,4-genuine-era-mismatch
38,1996,7110,2900-AI11,4-genuine-era-mismatch
35,1996,266,2900-AI03,4-genuine-era-mismatch
10,1996,2136,2900-AF74,4-genuine-era-mismatch
33,1996,4103,2040-AB85,4-genuine-era-mismatch
10,1996,2301,9000-AH18,4-genuine-era-mismatch
10,1996,2301,9000-AH21,4-genuine-era-mismatch
10,1996,2301,9000-AH22,4-genuine-era-mismatch
10,1996,2301,9000-AH24,4-genuine-era-mismatch
10,1996,2301,9000-AH26,4-genuine-era-mismatch
10,1996,2301,9000-AH27,4-genuine-era-mismatch
10,1996,2301,9000-AH29,4-genuine-era-mismatch
10,1996,2301,9000-AH30,4-genuine-era-mismatch
10,1996,2301,9000-AC90,4-genuine-era-mismatch
10,1996,2301,9000-AG73,4-genuine-era-mismatch
10,1996,2301,9000-AG74,4-genuine-era-mismatch
10,1996,2301,9000-AG75,4-genuine-era-mismatch
10,1996,2301,9000-AF61,4-genuine-era-mismatch
10,1996,2301,9000-AF72,4-genuine-era-mismatch
10,1996,2301,9000-AG04,4-genuine-era-mismatch
10,1996,2301,9000-AG49,4-genuine-era-mismatch
10,1996,2301,9000-AG59,4-genuine-era-mismatch
10,1996,2301,9000-AG64,4-genuine-era-mismatch
10,1996,2301,9000-AG76,4-genuine-era-mismatch
10,1996,2301,9000-AG81,4-genuine-era-mismatch
10,1996,2301,9000-AG85,4-genuine-era-mismatch
10,1996,2301,9000-AG86,4-genuine-era-mismatch
10,1996,2301,9000-AG87,4-genuine-era-mismatch
10,1996,2301,9000-AG89,4-genuine-era-mismatch
10,1996,2301,9000-AG99,4-genuine-era-mismatch
10,1996,2301,9000-AH03,4-genuine-era-mismatch
10,1996,2301,9000-AH04,4-genuine-era-mismatch
10,1996,2301,9000-AH05,4-genuine-era-mismatch
10,1996,2301,9000-AH07,4-genuine-era-mismatch
10,1996,2301,9000-AH14,4-genuine-era-mismatch
10,1996,2301,9000-AH28,4-genuine-era-mismatch
10,1996,2301,9000-AE41,4-genuine-era-mismatch
10,1996,2301,9000-AE47,4-genuine-era-mismatch
10,1996,2301,9000-AF41,4-genuine-era-mismatch
10,1996,2301,9000-AF44,4-genuine-era-mismatch
10,1996,2301,9000-AF48,4-genuine-era-mismatch
10,1996,2301,9000-AF54,4-genuine-era-mismatch
10,1996,2301,9000-AF55,4-genuine-era-mismatch
