rin,publication_id,ordinal,citation_ordinal,authority_text,authority_type,parse_status,admin_order_kind,admin_order_number
1090-AA67,199810,14,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA67,199810,15,0,OMB Circular A-110; OMB Circular A-133,administrative_order,partial,OMB Circular,A-110
1090-AA67,199810,15,1,OMB Circular A-110; OMB Circular A-133,administrative_order,partial,OMB Circular,A-133
1090-AA67,199904,14,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA67,199904,15,0,OMB Circular A-110; OMB Circular A-133,administrative_order,partial,OMB Circular,A-110
1090-AA67,199904,15,1,OMB Circular A-110; OMB Circular A-133,administrative_order,partial,OMB Circular,A-133
1090-AA67,199910,14,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA67,199910,15,0,OMB Circular A-110; OMB Circular A-133,administrative_order,partial,OMB Circular,A-110
1090-AA67,199910,15,1,OMB Circular A-110; OMB Circular A-133,administrative_order,partial,OMB Circular,A-133
1090-AA67,200004,4,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1090-AA67,200004,15,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1090-AA67,200004,16,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA22,199510,1,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1291-AA25,199710,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA25,199710,2,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1291-AA25,199804,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA25,199804,2,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1291-AA25,199810,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA25,199810,2,0,OMB Circular A-102,administrative_order,ok,OMB Circular,A-102
1291-AA26,199804,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,199804,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,199810,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,199810,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,199904,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,199904,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,199910,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,199910,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,200004,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,200004,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,200010,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,200010,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,200104,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,200104,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,200110,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,200110,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,200204,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,200204,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,200210,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,200210,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA26,200304,1,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1291-AA26,200304,2,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA27,199804,1,0,OMB Circular A-183,administrative_order,ok,OMB Circular,A-183
1291-AA27,199810,1,0,OMB Circular A-183,administrative_order,ok,OMB Circular,A-183
1291-AA27,199904,1,0,OMB Circular A-183,administrative_order,ok,OMB Circular,A-183
1291-AA27,199910,1,0,OMB Circular A-183,administrative_order,ok,OMB Circular,A-183
1291-AA27,200004,1,0,OMB Circular A-183,administrative_order,ok,OMB Circular,A-183
1291-AA27,200010,1,0,OMB Circular A-183,administrative_order,ok,OMB Circular,A-183
1291-AA27,200104,1,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA27,200110,1,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA27,200204,1,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA27,200210,1,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1291-AA27,200304,1,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1545-BF69,200610,1,0,OMB Circular A-25,administrative_order,ok,OMB Circular,A-25
1545-BF69,200704,1,0,OMB Circular A-25,administrative_order,ok,OMB Circular,A-25
1601-AA61,201004,1,0,"OMB Circular A-102, ""Grants and Cooperative Agreements with State and Local Governments""",administrative_order,partial,OMB Circular,A-102
1601-AA61,201010,1,0,"OMB Circular A-102, ""Grants and Cooperative Agreements with State and Local Governments""",administrative_order,partial,OMB Circular,A-102
1601-AA61,201104,1,0,"OMB Circular A-102, ""Grants and Cooperative Agreements with State and Local Governments""",administrative_order,partial,OMB Circular,A-102
1601-AA61,201110,1,0,"OMB Circular A-102, Grants and Cooperative Agreements With State and Local Governments",administrative_order,partial,OMB Circular,A-102
1601-AA64,201104,1,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1601-AA64,201110,1,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1601-AA64,201704,1,0,OMB Circular A-133,administrative_order,ok,OMB Circular,A-133
1880-AA63,199510,1,0,"20 USC 3474, (OMB Circular A-102)",usc,partial,,
1880-AA63,199510,1,1,"20 USC 3474, (OMB Circular A-102)",administrative_order,partial,OMB Circular,A-102
1890-AA05,200004,2,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
1890-AA11,200310,5,0,OMB Circulars A-110 and A-102,other,failed,,
1890-AA11,200404,5,0,OMB Circulars A-110 and A-102,other,failed,,
1902-AC19,200204,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200210,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200304,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200310,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200404,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200410,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200504,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200510,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200604,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200610,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200704,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200710,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
1902-AC19,200804,0,0,OMB Circular A-130,administrative_order,ok,OMB Circular,A-130
2030-AA32,199510,0,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
2030-AA32,199604,0,0,OMB Circular A-110,administrative_order,ok,OMB Circular,A-110
2030-AA34,199510,8,0,OMB Circular A102,administrative_order,ok,OMB Circular,A102
2030-AA34,199604,8,0,OMB Circular A102,administrative_order,ok,OMB Circular,A102
2125-AE74,200010,3,0,OMB Circular A-87,administrative_order,ok,OMB Circular,A-87
3067-AC98,199910,0,0,OMB Circ A-133,other,failed,,
3067-AC98,200004,0,0,OMB Circ A-133,other,failed,,
3067-AD07,200004,0,0,OMB Circ A-110,other,failed,,
3090-AH63,200304,4,0,"OMB Circular No A-126 (Revised May 22, 1992), 57 FR 22150",administrative_order,partial,OMB Circular,A-126
3090-AH63,200304,4,1,"OMB Circular No A-126 (Revised May 22, 1992), 57 FR 22150",federal_register,partial,,
3090-AH90,200404,13,0,"OMB Circular No. A-126 (Revised May 22, 1992)",administrative_order,partial,OMB Circular,A-126
3090-AH90,200410,13,0,"OMB Circular No. A-126 (Revised May 22, 1992)",administrative_order,partial,OMB Circular,A-126
3090-AI19,200604,3,0,OMB Circular No. A-126,administrative_order,ok,OMB Circular,A-126
3090-AI19,200610,3,0,OMB Circular No. A-126,administrative_order,ok,OMB Circular,A-126
3090-AI37,200910,9,0,OMB Circular A-126,administrative_order,ok,OMB Circular,A-126
3090-AI37,201004,9,0,OMB Circular A-126,administrative_order,ok,OMB Circular,A-126
3090-AI37,201010,9,0,OMB Circular A-126,administrative_order,ok,OMB Circular,A-126
3090-AI37,201104,9,0,"OMB Circular A-126, revised May 22, 1992",administrative_order,partial,OMB Circular,A-126
3090-AI39,200710,11,0,"OMB Cir No A-126, rev 04/28/2006",other,failed,,
3090-AI39,200710,14,0,"OMB Cir No A-123, app B, rev 04/00/2006",other,failed,,
