kind	rin	publication_id	ordinal	citation_ordinal	changes	authority_text
CHANGED	0694-AD59	200710	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 760' -> '15 CFR 736'	50 USC 2401
CHANGED	0694-AD59	200710	9	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 760' -> '15 CFR 736'	50 USC app 2401 et seq
CHANGED	0694-AD59	200804	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 760' -> '15 CFR 736'	50 USC 2401
CHANGED	0694-AD59	200804	9	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 760' -> '15 CFR 736'	50 USC app 2401 et seq
CHANGED	0694-AD59	200810	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 760' -> '15 CFR 736'	50 USC 2401
CHANGED	0694-AD59	200810	8	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 760' -> '15 CFR 736'	50 USC app 2401 et seq
CHANGED	0694-AD59	200904	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 760' -> '15 CFR 736'	50 USC 2401
CHANGED	0694-AD59	200904	9	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 760' -> '15 CFR 736'	50 USC app. 2401 et seq
CHANGED	0694-AD60	200510	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AD60	200604	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AD60	200610	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AD63	200510	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AD63	200604	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AD63	200610	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AD63	200704	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AD63	200710	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app 2401 et seq
CHANGED	0694-AD67	200604	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 766' -> '15 CFR 740'	50 USC app. 2401 et seq.
CHANGED	0694-AD71	200904	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 730'	50 USC app. 2401 et seq
CHANGED	0694-AD71	200910	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 730'	50 USC app 2401 et seq
CHANGED	0694-AD73	200604	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 740'	50 USC 2401
CHANGED	0694-AD73	200610	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 740'	50 USC 2401
CHANGED	0694-AD74	200610	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC 2401
CHANGED	0694-AD78	200610	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC app. 2401 et seq
CHANGED	0694-AD81	200704	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 734'	50 USC 2401
CHANGED	0694-AD82	200610	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 756' -> '15 CFR 744'	50 USC app. 2401 et seq
CHANGED	0694-AD82	200704	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 756' -> '15 CFR 744'	50 USC app 2401 et seq
CHANGED	0694-AD88	200704	12	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 700'	50 USC app 2061 et seq
CHANGED	0694-AD88	200704	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 700'	50 USC app 2401 et seq
CHANGED	0694-AD94	200704	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 740'	50 USC app 2401 et seq
CHANGED	0694-AD94	200710	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 740'	50 USC app 2401 et seq
CHANGED	0694-AD94	200804	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 740'	50 USC app 2401 et seq
CHANGED	0694-AD94	200810	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 764' -> '15 CFR 740'	50 USC app 2401 et seq
CHANGED	0694-AD95	200704	0	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC 2401
CHANGED	0694-AD95	200710	12	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC app 2401 et seq
CHANGED	0694-AD95	200804	12	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC app 2401 et seq
CHANGED	0694-AE01	200710	27	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 756' -> '15 CFR 705'	50 USC app 2401 et seq
CHANGED	0694-AE12	200710	12	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 730'	50 USC app 2401 et seq
CHANGED	0694-AE15	200804	15	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 700'	50 USC app 2061 et seq
CHANGED	0694-AE15	200804	16	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 700'	50 USC app 2401 et seq
CHANGED	0694-AE17	200804	0	1	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 744' -> '15 CFR 740'	22 USC 3201 et seq
CHANGED	0694-AE18	200804	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AE18	200810	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AE18	200904	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AE18	200910	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AE18	201004	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 762' -> '15 CFR 732'	50 USC 2401
CHANGED	0694-AE19	200804	8	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 730'	50 USC app 2401 et seq
CHANGED	0694-AE30	200804	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC 2401
CHANGED	0694-AE30	200810	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC 2401
CHANGED	0694-AE30	200904	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC 2401
CHANGED	0694-AE30	200910	12	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC 2401
CHANGED	0694-AE30	201004	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC 2401
CHANGED	0694-AE30	201010	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC 2401
CHANGED	0694-AE30	201104	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC 2401
CHANGED	0694-AE30	201110	13	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'; cfr_note_part: '15 CFR 743' -> '15 CFR 742'	50 USC 2401
CHANGED	0694-AE31	200810	1	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC 2401
CHANGED	0694-AE31	200904	16	0	authority_in_own_cfr_note: 'near-miss' -> 'absent'	50 USC 2401
