cfr_part	rule	family	citation_old_to_new	note_text_verbatim
2:3474	compilation-locator	usc	42:2002 -> (removed)	20 U.S.C. 1221e-3, 3474; 42 U.S.C. 2000bb et seq.; E.O. 13279, 67 FR 77141, 3 CFR, 2002 Comp., p. 258; E.O. 13559, 75 FR 71319, 3 CFR, 2010 Comp., p. 273; E.O. 13831, 83 FR 20715, 3 CFR, 2018 Comp., p. 806; and 2 CFR part 200, unless otherwise noted.
2:3474	compilation-locator	usc	42:2010 -> (removed)	20 U.S.C. 1221e-3, 3474; 42 U.S.C. 2000bb et seq.; E.O. 13279, 67 FR 77141, 3 CFR, 2002 Comp., p. 258; E.O. 13559, 75 FR 71319, 3 CFR, 2010 Comp., p. 273; E.O. 13831, 83 FR 20715, 3 CFR, 2018 Comp., p. 806; and 2 CFR part 200, unless otherwise noted.
2:3474	compilation-locator	usc	42:2018 -> (removed)	20 U.S.C. 1221e-3, 3474; 42 U.S.C. 2000bb et seq.; E.O. 13279, 67 FR 77141, 3 CFR, 2002 Comp., p. 258; E.O. 13559, 75 FR 71319, 3 CFR, 2010 Comp., p. 273; E.O. 13831, 83 FR 20715, 3 CFR, 2018 Comp., p. 806; and 2 CFR part 200, unless otherwise noted.
2:376	compilation-locator	usc	31:1989 -> (removed)	5 U.S.C. 301; 31 U.S.C. 6101 (note); E.O. 12689 (3 CFR, 1989 Comp., p. 235); E.O. 12549 (3 CFR, 1986 Comp., p. 189); E.O. 11738 (3 CFR, 1973 Comp., p. 799).
2:376	compilation-locator	usc	31:1986 -> (removed)	5 U.S.C. 301; 31 U.S.C. 6101 (note); E.O. 12689 (3 CFR, 1989 Comp., p. 235); E.O. 12549 (3 CFR, 1986 Comp., p. 189); E.O. 11738 (3 CFR, 1973 Comp., p. 799).
2:376	compilation-locator	usc	31:1973 -> (removed)	5 U.S.C. 301; 31 U.S.C. 6101 (note); E.O. 12689 (3 CFR, 1989 Comp., p. 235); E.O. 12549 (3 CFR, 1986 Comp., p. 189); E.O. 11738 (3 CFR, 1973 Comp., p. 799).
2:417	compilation-locator	usc	31:1986 -> (removed)	5 U.S.C. 301; 7 U.S.C. 2209j; Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); Pub. L. 101-576, 104 Stat. 2838; E.O. 12549 (51 FR 6370, 3 CFR, 1986 Comp., p. 189); E.O. 12689 (54 FR 34131, 3 CFR, 1989 Comp., p. 235); 2 CFR part 180; 7 CFR 2.28.
2:417	compilation-locator	usc	31:1989 -> (removed)	5 U.S.C. 301; 7 U.S.C. 2209j; Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); Pub. L. 101-576, 104 Stat. 2838; E.O. 12549 (51 FR 6370, 3 CFR, 1986 Comp., p. 189); E.O. 12689 (54 FR 34131, 3 CFR, 1989 Comp., p. 235); 2 CFR part 180; 7 CFR 2.28.
2:5800	compilation-locator	usc	31:1986 -> (removed)	Sec. 2455, Pub. L. 103-355, 108; Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549; (3 CFR, 1986 Comp., p. 189); E.O. 12689 (3); CFR, 1989 Comp., p. 235).
2:601	compilation-locator	usc	31:1986 -> (removed)	Sec. 2455, Pub. L. 103-355, 108; Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549; (3 CFR, 1986 Comp., p. 189); E.O. 12689 (3); CFR, 1989 Comp., p. 235).
2:901	compilation-locator	usc	31:1986 -> (removed)	Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549 (3 CFR, 1986 Comp., p. 189); E.O. 12689 (3 CFR, 1989 Comp., p. 235); 42 U.S.C. 7101 et seq.; 50 U.S.C. 2401 et seq.
2:901	compilation-locator	usc	31:1989 -> (removed)	Sec. 2455, Pub. L. 103-355, 108 Stat. 3327 (31 U.S.C. 6101 note); E.O. 12549 (3 CFR, 1986 Comp., p. 189); E.O. 12689 (3 CFR, 1989 Comp., p. 235); 42 U.S.C. 7101 et seq.; 50 U.S.C. 2401 et seq.
5:10000	compilation-locator	cfr	3:1987 -> (removed)	5 U.S.C. 552, as amended; E.O. 12600, 52 FR 23781, 3 CFR 1987, 1987 Comp., p. 235; 3 CFR 235.
5:10000	compilation-locator	usc	5:1987 -> (removed)	5 U.S.C. 552, as amended; E.O. 12600, 52 FR 23781, 3 CFR 1987, 1987 Comp., p. 235; 3 CFR 235.
5:10101	compilation-locator	usc	45:1990 -> (removed)	5 U.S.C. 7301; 5 U.S.C. App. (Ethics in Government Act of 1978); 44 Stat. 577, as amended; 45 U.S.C. 151, 160a; E.O. 12674, 54 FR 15159, 3 CFR, 189 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3CFR, 1990 Comp., p. 306; 5 CFR 2635.105, 2635.803.
5:10101	dotted-cfr-section	usc	45:2635 -> (removed)	5 U.S.C. 7301; 5 U.S.C. App. (Ethics in Government Act of 1978); 44 Stat. 577, as amended; 45 U.S.C. 151, 160a; E.O. 12674, 54 FR 15159, 3 CFR, 189 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3CFR, 1990 Comp., p. 306; 5 CFR 2635.105, 2635.803.
5:10201	compilation-locator	usc	5:1989 -> (removed)	5 U.S.C. 1212(e); 5 U.S.C. 7301; 5 U.S.C. App. (Ethics in Government Act of 1978); E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306; 5 CFR 2635.105, 2635.803.
5:10201	compilation-locator	usc	5:1990 -> (removed)	5 U.S.C. 1212(e); 5 U.S.C. 7301; 5 U.S.C. App. (Ethics in Government Act of 1978); E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306; 5 CFR 2635.105, 2635.803.
5:10201	dotted-cfr-section	usc	5:2635 -> (removed)	5 U.S.C. 1212(e); 5 U.S.C. 7301; 5 U.S.C. App. (Ethics in Government Act of 1978); E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306; 5 CFR 2635.105, 2635.803.
5:10300	compilation-locator	usc	29:1989 -> (removed)	5 U.S.C. 7301, 7353; 5 U.S.C. Ch. 131 (Ethics in Government Act of 1978); 29 U.S.C. 172; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306; 5 CFR 2635.105, 5 CFR 2635.402(c), 5 CFR 2635.403(a), 5 CFR 2635.502, 5 CFR 2635.604, 5 CFR 2635.802, and 5 CFR 2635.803.
5:10300	compilation-locator	usc	29:1990 -> (removed)	5 U.S.C. 7301, 7353; 5 U.S.C. Ch. 131 (Ethics in Government Act of 1978); 29 U.S.C. 172; E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306; 5 CFR 2635.105, 5 CFR 2635.402(c), 5 CFR 2635.403(a), 5 CFR 2635.502, 5 CFR 2635.604, 5 CFR 2635.802, and 5 CFR 2635.803.
5:1400	compilation-locator	usc	50:1949 -> (removed)	5 U.S.C. 1103(a)(5), 3301, 3302, 7312; 50 U.S.C. 3023, 3341; E.O. 10450, 3 CFR, 1949-1953 Comp., p. 936; E.O. 10577, 3 CFR, 1954-1958 Comp., p. 218; E.O. 12968, 3 CFR, 1995 Comp., p. 391; E.O. 13467, 3 CFR, 2008 Comp., p. 196; 3 CFR, 2013 Comp., p. 358.
5:1400	compilation-locator	usc	50:1954 -> (removed)	5 U.S.C. 1103(a)(5), 3301, 3302, 7312; 50 U.S.C. 3023, 3341; E.O. 10450, 3 CFR, 1949-1953 Comp., p. 936; E.O. 10577, 3 CFR, 1954-1958 Comp., p. 218; E.O. 12968, 3 CFR, 1995 Comp., p. 391; E.O. 13467, 3 CFR, 2008 Comp., p. 196; 3 CFR, 2013 Comp., p. 358.
5:1400	compilation-locator	usc	50:1995 -> (removed)	5 U.S.C. 1103(a)(5), 3301, 3302, 7312; 50 U.S.C. 3023, 3341; E.O. 10450, 3 CFR, 1949-1953 Comp., p. 936; E.O. 10577, 3 CFR, 1954-1958 Comp., p. 218; E.O. 12968, 3 CFR, 1995 Comp., p. 391; E.O. 13467, 3 CFR, 2008 Comp., p. 196; 3 CFR, 2013 Comp., p. 358.
5:1400	compilation-locator	usc	50:2008 -> (removed)	5 U.S.C. 1103(a)(5), 3301, 3302, 7312; 50 U.S.C. 3023, 3341; E.O. 10450, 3 CFR, 1949-1953 Comp., p. 936; E.O. 10577, 3 CFR, 1954-1958 Comp., p. 218; E.O. 12968, 3 CFR, 1995 Comp., p. 391; E.O. 13467, 3 CFR, 2008 Comp., p. 196; 3 CFR, 2013 Comp., p. 358.
5:1400	compilation-locator	usc	50:2013 -> (removed)	5 U.S.C. 1103(a)(5), 3301, 3302, 7312; 50 U.S.C. 3023, 3341; E.O. 10450, 3 CFR, 1949-1953 Comp., p. 936; E.O. 10577, 3 CFR, 1954-1958 Comp., p. 218; E.O. 12968, 3 CFR, 1995 Comp., p. 391; E.O. 13467, 3 CFR, 2008 Comp., p. 196; 3 CFR, 2013 Comp., p. 358.
5:210	compilation-locator	usc	5:1954 -> (removed)	5 U.S.C. 1302, 3301, 3302; E.O. 10577, 19 FR 7521, 3 CFR, 1954-1958 Comp., p. 218.
5:212	compilation-locator	usc	5:1954 -> (removed)	5 U.S.C. 1302, 3301, 3302; E.O. 10577, 19 FR 7521, 3 CFR, 1954-1958 Comp., p. 218; E.O. 14171, 90 FR 8625.
5:213	compilation-locator	usc	38:1979 -> (removed)	5 U.S.C. 3161, 3301 and 3302; 38 U.S.C. 4301 et seq. E.O. 10577, 19 FR 7521, 3 CFR 1954-1958 Comp., p. 218; E.O. 14171, 90 FR 8625. Sec. 213.101 also issued under 5 U.S.C. 2103. Sec. 213.3102 also issued under 5 U.S.C. 3307, 8337(h), 8456; 38 U.S.C. 4301 et seq. E.O. 12125, 44 FR 16879, 3 CFR, 1979 Comp., p. 375; E.O. 13124, 64 FR 31103, 3 CFR, 1999 Comp., p. 192; E.O. 13562, 75 FR 82585, 3 CFR, 2010 Comp, p. 291; E.O. 14217, 90 FR 10577; and Presidential Memorandum of May 11, 2010, 75 FR 27157, 3 CFR, 2010 Comp., p. 327. Sec. 213.3202 also issued under 5 U.S.C. 3304.
5:213	compilation-locator	usc	38:1999 -> (removed)	5 U.S.C. 3161, 3301 and 3302; 38 U.S.C. 4301 et seq. E.O. 10577, 19 FR 7521, 3 CFR 1954-1958 Comp., p. 218; E.O. 14171, 90 FR 8625. Sec. 213.101 also issued under 5 U.S.C. 2103. Sec. 213.3102 also issued under 5 U.S.C. 3307, 8337(h), 8456; 38 U.S.C. 4301 et seq. E.O. 12125, 44 FR 16879, 3 CFR, 1979 Comp., p. 375; E.O. 13124, 64 FR 31103, 3 CFR, 1999 Comp., p. 192; E.O. 13562, 75 FR 82585, 3 CFR, 2010 Comp, p. 291; E.O. 14217, 90 FR 10577; and Presidential Memorandum of May 11, 2010, 75 FR 27157, 3 CFR, 2010 Comp., p. 327. Sec. 213.3202 also issued under 5 U.S.C. 3304.
5:213	compilation-locator	usc	38:2010 -> (removed)	5 U.S.C. 3161, 3301 and 3302; 38 U.S.C. 4301 et seq. E.O. 10577, 19 FR 7521, 3 CFR 1954-1958 Comp., p. 218; E.O. 14171, 90 FR 8625. Sec. 213.101 also issued under 5 U.S.C. 2103. Sec. 213.3102 also issued under 5 U.S.C. 3307, 8337(h), 8456; 38 U.S.C. 4301 et seq. E.O. 12125, 44 FR 16879, 3 CFR, 1979 Comp., p. 375; E.O. 13124, 64 FR 31103, 3 CFR, 1999 Comp., p. 192; E.O. 13562, 75 FR 82585, 3 CFR, 2010 Comp, p. 291; E.O. 14217, 90 FR 10577; and Presidential Memorandum of May 11, 2010, 75 FR 27157, 3 CFR, 2010 Comp., p. 327. Sec. 213.3202 also issued under 5 U.S.C. 3304.
5:250	compilation-locator	usc	5:1954 -> (removed)	5 U.S.C. 1101 note, 1103(a)(5), 1103(c), 1104, 1302, 3301, 3302; E.O. 10577, 12 FR 1259, 3 CFR, 1954-1958 Comp., p. 218; E.O. 13197, 66 FR 7853, 3 CFR 748 (2002). Subpart B also issued under 5 U.S.C. 1401, 1401 note, 1402.
5:2600	compilation-locator	usc	5:1989 -> (removed)	5 U.S.C. App. (Ethics in Government Act of 1978); E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2600	compilation-locator	usc	5:1990 -> (removed)	5 U.S.C. App. (Ethics in Government Act of 1978); E.O. 12674, 54 FR 15159, 3 CFR, 1989 Comp., p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR, 1990 Comp., p. 306.
5:2604	compilation-locator	usc	5:1987 -> (removed)	5 U.S.C. 552; 5 U.S.C. App. 101-505; E.O. 12600, 52 FR 23781, 3 CFR, 1987 Comp., p. 235; E.O. 13392, 70 FR 75373, 3 CFR, 2005 Comp., p. 216.
5:2604	compilation-locator	usc	5:2005 -> (removed)	5 U.S.C. 552; 5 U.S.C. App. 101-505; E.O. 12600, 52 FR 23781, 3 CFR, 1987 Comp., p. 235; E.O. 13392, 70 FR 75373, 3 CFR, 2005 Comp., p. 216.
