rin	publication_id	edition_year	usc_title	usc_section	usc_appendix	authority_text	whole_citation
0750-AH82	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH83	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH84	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH85	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
0750-AH86	201210	2012	41	1303	False	41 USC 1303	41 USC 1303
1018-AW66	201210	2012	33	1322	False	33 USC 1322, as amended	33 USC 1322, as amended
1018-AY75	201210	2012	33	1322	False	33 USC 1322	33 USC 1322
1218-AC72	201210	2012	33	941	False	33 USC 941	33 USC 941
1240-AA05	201210	2012	33	939	False	33 USC 939(a)	33 USC 939(a)
1240-AA06	201210	2012	33	939	False	33 USC 939	33 USC 939
1250-AA00	201210	2012	38	4211	False	38 USC 4211 (2001) (amended 2002)	38 USC 4211 (2001) (amended 2002)
1250-AA00	201210	2012	38	4212	False	38 USC 4212 (2001) (amended 2002)	38 USC 4212 (2001) (amended 2002)
1293-AA18	201210	2012	38	4102	False	38 USC 4102(c)(3)(B)	38 USC 4102(c)(3)(B)
1505-AA81	201004	2010	12	24a	False	12 USC 24a	12 USC 24a
1506-AA97	201004	2010	12	1829	False	12 USC 1829	12 USC 1829
1506-AA97	201010	2010	12	1829	False	12 USC 1829	12 USC 1829
1506-AB01	201004	2010	12	1829	False	12 USC 1829	12 USC 1829
1506-AB01	201004	2010	12	1951	False	12 USC 1951 to 1959	12 USC 1951 to 1959
1506-AB01	201010	2010	12	1829	False	12 USC 1829	12 USC 1829
1506-AB01	201010	2010	12	1951	False	12 USC 1951 to 1959	12 USC 1951 to 1959
1506-AB04	201004	2010	12	1829	False	12 USC 1829	12 USC 1829
1506-AB04	201004	2010	12	1951	False	12 USC 1951 to 1959	12 USC 1951 to 1959
1506-AB05	201004	2010	12	1829	False	12 USC 1829	12 USC 1829
1506-AB06	201004	2010	12	1829b	False	12 USC 1829b	12 USC 1829b
1506-AB06	201004	2010	12	1951	False	12 USC 1951-1959	12 USC 1951-1959
1506-AB07	201004	2010	12	1829b	False	12 USC 1829b	12 USC 1829b
