eo_number,signing_date,title,fr_citation,provenance,source_file
12668,1989-01-25,President's Commission on Federal Ethics Law Reform,"54 FR 3979; January 27, 1989",nara-live,eo-1989-bush.html
12700,1990-01-19,President's Council of Advisors on Science and Technology,"55 FR 2219; January 23, 1990",nara-live,eo-1990.html
12701,1990-02-14,Amending Executive Order No. 12334,"55 FR 5953; February 20, 1990",nara-live,eo-1990.html
12702,1990-02-20,Waiver under the Trade Act of 1974 with respect to Czechoslovakia,"55 FR 6231; February 22, 1990",nara-live,eo-1990.html
12703,1990-02-20,Support for East European Democracy (SEED) Program,"55 FR 6351; February 23, 1990",nara-live,eo-1990.html
12704,1990-02-26,"Amendments to Executive Order Nos. 11830, 12367, 12692","55 FR 6969; February 28, 1990",nara-live,eo-1990.html
12705,1990-03-03,Amendment to Executive Order No. 12686,"55 FR 8113; March 6, 1990",nara-live,eo-1990.html
12706,1990-03-09,Nuclear Cooperation With EURATOM,"55 FR 9313; March 13, 1990",nara-live,eo-1990.html
12707,1990-03-13,Termination of emergency with respect to Nicaragua,"55 FR 9707; March 14, 1990",nara-live,eo-1990.html
12708,1990-03-23,"Amendments to the Manual for Courts-Martial, United States, 1984","55 FR 11353; March 27, 1990",nara-live,eo-1990.html
12709,1990-04-04,Increasing the membership of the President's Council on Physical Fitness and Sports,"55 FR 13097; April 6, 1990",nara-live,eo-1990.html
12710,1990-04-05,Termination of emergency with respect to Panama,"55 FR 13099; April 6, 1990",nara-live,eo-1990.html
12711,1990-04-11,Policy implementation with respect to nationals of the People's Republic of China,"55 FR 13897; April 13, 1990",nara-live,eo-1990.html
12712,1990-04-26,Adding the Secretary of Energy to the National Space Council,"55 FR 18095; May 1, 1990",nara-live,eo-1990.html
12713,1990-05-01,Report required by section 502 of the Automotive Products Trade Act of 1965,"55 FR 18719; May 4, 1990",nara-live,eo-1990.html
12714,1990-05-03,Establishing an emergency board to investigate disputes between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference and their employees represented by certain labor organizations,"55 FR 19047; May 8, 1990",nara-live,eo-1990.html
12715,1990-05-03,"Determination under section 2606 of Title 10, United States Code, for support of scouting activities overseas","55 FR 19051; May 8, 1990",nara-live,eo-1990.html
12716,1990-05-24,Extending the National Commission on Superconductivity,"55 FR 21831; May 29, 1990",nara-live,eo-1990.html
12717,1990-06-18,Revoking Executive Order No. 12691,"55 FR 25295; June 20, 1990",nara-live,eo-1990.html
12718,1990-06-29,President's Advisory Commission on the Public Service,"55 FR 27451; July 3, 1990",nara-live,eo-1990.html
